COUNTRY,publications all,publ rank,citations,cit rank,citations/publication,rank cit/publ,h-index,rank h-index,top1% rank,pop. (k),PpM,PpM rank,h/pM,rank h/pM
UNITED STATES,35596,1,1779800,1,50.00,10,427,1,1,327200,109,16,1.31,30
UNITED KINGDOM,9173,3,486787,2,53.07,6,273,2,2,66400,138,12,4.11,21
GERMANY,7842,4,390478,3,49.79,11,233,3,3,82790,95,19,2.81,24
FRANCE,4873,5,220138,5,45.18,12,187,4,5,66990,73,20,2.79,25
CANADA,4481,7,177560,7,39.63,19,174,5,6,37590,119,15,4.63,20
SWITZERLAND,2501,12,177475,8,70.96,3,162,6,8,8556,292,1,18.93,3
CHINA,19010,2,285150,4,15.00,38,160,7,19,1386000,14,32,0.12,39
AUSTRALIA,3426,10,147837,9,43.15,13,142,8,10,24600,139,11,5.77,15
SPAIN,3380,11,135609,10,40.12,17,139,9,12,46660,72,22,2.98,23
JAPAN,3823,8,192836,6,50.44,8,139,9,4,126800,30,29,1.10,31
NETHERLANDS,2470,13,98793,13,40.00,18,136,11,9,17180,144,8,7.92,14
SWEDEN,2228,14,134833,11,60.52,5,129,12,11,10120,220,4,12.75,9
ITALY,3765,9,110340,12,29.31,24,127,13,7,60480,62,24,2.10,26
DENMARK,1328,20,92128,14,69.37,4,120,14,14,5603,237,2,21.42,2
ISRAEL,1779,16,74211,15,41.72,16,120,14,15,8712,204,5,13.77,8
BELGIUM,1617,19,68153,16,42.15,15,116,16,13,11400,142,10,10.18,12
AUSTRIA,1077,23,54734,18,50.82,7,103,17,18,8822,122,14,11.68,11
INDIA,4797,6,65791,17,13.72,39,93,18,22,1339000,4,40,0.07,40
FINLAND,987,24,38475,22,38.98,20,87,19,17,5513,179,6,15.78,5
NORWAY,855,28,36118,23,42.24,14,85,20,,5328,160,7,15.95,4
SINGAPORE,1261,22,40233,21,31.91,23,82,21,27,5612,225,3,14.61,7
KOREA (SOUTH),1948,15,42405,20,21.77,32,78,22,20,51470,38,27,1.52,29
RUSSIA,1328,20,28644,25,21.57,33,72,23,16,144500,9,35,0.50,35
IRELAND,691,30,50992,19,73.79,2,71,24,25,4830,143,9,14.70,6
TAIWAN,1747,17,30162,24,17.27,36,71,24,24,23780,73,20,2.99,22
POLAND,983,26,21188,29,21.55,34,65,26,21,37980,26,30,1.71,28
BRAZIL,1721,18,27796,26,16.15,37,65,26,23,209300,8,37,0.31,38
HONG KONG,984,25,23290,28,23.67,30,64,28,,7392,133,13,8.66,13
NEW ZEALAND,474,37,23829,27,50.27,9,58,29,,4794,99,18,12.10,10
PORTUGAL,733,29,19727,31,26.91,27,58,29,28,10290,71,23,5.64,16
SAUDI ARABIA,622,32,14613,35,23.49,31,58,29,,32940,19,31,1.76,27
MEXICO,665,31,16848,32,25.34,28,57,32,,129200,5,39,0.44,37
SOUTH AFRICA,602,33,20757,30,34.48,22,54,33,29,56720,11,33,0.95,33
CZECH REPUBLIC,502,36,14393,36,28.67,26,53,34,,10650,47,26,4.98,18
GREECE,583,34,14759,34,25.32,29,53,34,26,10740,54,25,4.93,19
HUNGARY,350,39,12796,37,36.56,21,52,36,,9773,36,28,5.32,17
ESTONIA,133,40,10396,38,78.17,1,44,37,,1325,100,17,33.21,1
ARGENTINA,420,38,8844,39,21.06,35,44,37,,44270,9,35,0.99,32
TURKEY,563,35,16364,33,29.07,25,44,37,,80810,7,38,0.54,34
IRAN,926,27,8354,40,9.02,40,37,40,30,81160,11,33,0.46,36